EpochSecTime,JD0,JD1,PosX,PosY,PosZ,VelX,VelY,VelZ,OrbEl_SMA,OrbEl_Eccentricity,OrbEl_Inclination,OrbEl_RAAN,OrbEl_ArgOfPerigee,OrbEl_MeanAnomaly,OrbEl_TrueAnomaly,Access,Azimuth,Elevation,Latitude(deg),Longitude(deg),sunVecX,sunVecY,sunVecZ
0,2457415.5,41372,7171.022,0,-0.00126,0,4.70963,5.92082,7390.65296,0.02972,0.89884,0,0,6.28318,6.28318,0,0,0,0,0,1,0,1
20,2457415.5,41392,7169.46984,94.18578,118.40656,-0.15521,4.70861,5.91953,7390.64234,0.02972,0.89884,0,0.0009,0.01903,0.0202,0,136.5,-10.9,1,61.4,1,0,1
40,2457415.5,41412,7164.81411,188.33075,236.76296,-0.31035,4.70555,5.91568,7390.62101,0.02971,0.89884,0,0.00179,0.03806,0.04041,0,134.7,-10.6,2,62.1,1,0,1
60,2457415.5,41432,7157.05701,282.39415,355.0166,-0.46533,4.70045,5.90926,7390.589,0.02971,0.89884,0,0.00267,0.05711,0.06063,0,133,-10.4,2.9,62.7,1,0,1
80,2457415.5,41452,7146.20222,376.33528,473.11616,-0.6201,4.69332,5.90027,7390.54638,0.0297,0.89884,6.28319,0.00354,0.07617,0.08086,0,131.3,-10.1,3.9,63.4,1,0,1
100,2457415.5,41472,7132.25488,470.11351,591.01043,-0.77458,4.68416,5.88873,7390.49322,0.02969,0.89884,6.28318,0.00439,0.09524,0.1011,0,129.5,-9.9,4.8,64.1,1,0,1
120,2457415.5,41492,7115.22158,563.68828,708.64832,-0.92869,4.67298,5.87463,7390.42968,0.02968,0.89884,6.28318,0.00522,0.11433,0.12136,0,127.7,-9.7,5.8,64.8,1,0,1
140,2457415.5,41512,7095.11039,657.01917,825.97886,-1.08235,4.65978,5.858,7390.3559,0.02967,0.89883,6.28318,0.00603,0.13345,0.14164,0,125.8,-9.5,6.7,65.4,1,0,1
160,2457415.5,41532,7071.93082,750.06588,942.95128,-1.23551,4.64456,5.83882,7390.27211,0.02965,0.89883,6.28318,0.00681,0.15259,0.16194,0,124,-9.3,7.7,66.1,1,0,1
180,2457415.5,41552,7045.6938,842.78826,1059.51497,-1.38809,4.62734,5.81713,7390.1785,0.02964,0.89882,6.28318,0.00757,0.17176,0.18227,0,122.1,-9.2,8.6,66.8,1,0,1
200,2457415.5,41572,7016.41174,935.14636,1175.61958,-1.54001,4.60813,5.79292,7390.07532,0.02962,0.89882,6.28318,0.00829,0.19096,0.20262,0,120.3,-9.1,9.6,67.5,1,0,1
220,2457415.5,41592,6984.09843,1027.10042,1291.21501,-1.6912,4.58694,5.76621,7389.9628,0.0296,0.89881,6.28318,0.00898,0.21019,0.22301,0,118.4,-9,10.5,68.2,1,0,1
240,2457415.5,41612,6948.76911,1118.61091,1406.25141,-1.84159,4.56378,5.73702,7389.84119,0.02958,0.89881,6.28318,0.00963,0.22947,0.24343,0,116.5,-8.9,11.5,68.9,1,0,1
260,2457415.5,41632,6910.44042,1209.63852,1520.67927,-1.99112,4.53866,5.70536,7389.71074,0.02956,0.8988,6.28318,0.01024,0.24878,0.26388,0,114.6,-8.8,12.4,69.6,1,0,1
280,2457415.5,41652,6869.13037,1300.14423,1634.44941,-2.13972,4.51159,5.67125,7389.57172,0.02953,0.8988,6.28317,0.0108,0.26814,0.28436,0,112.7,-8.8,13.3,70.3,1,0,1
300,2457415.5,41672,6824.85837,1390.0893,1747.51299,-2.28731,4.4826,5.63471,7389.42439,0.02951,0.89879,6.28317,0.01132,0.28754,0.30489,0,110.8,-8.8,14.3,71,1,0,1
320,2457415.5,41692,6777.64521,1479.43529,1859.82158,-2.43382,4.45169,5.59575,7389.26903,0.02948,0.89878,6.28317,0.0118,0.30699,0.32546,0,108.9,-8.8,15.2,71.7,1,0,1
340,2457415.5,41712,6727.51301,1568.14409,1971.32715,-2.5792,4.41888,5.55441,7389.10591,0.02946,0.89877,6.28316,0.01222,0.32649,0.34606,0,107,-8.9,16.1,72.4,1,0,1
360,2457415.5,41732,6674.48524,1656.17793,2081.9821,-2.72337,4.38419,5.51069,7388.93531,0.02943,0.89876,6.28316,0.01259,0.34603,0.36671,0,105.2,-8.9,17,73.2,1,0,1
380,2457415.5,41752,6618.58669,1743.49942,2191.7393,-2.86627,4.34765,5.46464,7388.75752,0.0294,0.89876,6.28315,0.01292,0.36563,0.3874,0,103.3,-9,17.9,73.9,1,0,1
400,2457415.5,41772,6559.84345,1830.07154,2300.55212,-3.00783,4.30926,5.41626,7388.57283,0.02937,0.89875,6.28315,0.01318,0.38529,0.40814,0,101.4,-9.1,18.9,74.7,1,0,1
420,2457415.5,41792,6498.2829,1915.85767,2408.37441,-3.14799,4.26905,5.36559,7388.38157,0.02934,0.89874,6.28314,0.01339,0.405,0.42892,0,99.6,-9.2,19.8,75.4,1,0,1
440,2457415.5,41812,6433.9337,2000.82164,2515.16058,-3.28668,4.22705,5.31265,7388.18407,0.02931,0.89873,6.28314,0.01355,0.42476,0.44975,0,97.8,-9.4,20.7,76.2,1,0,1
460,2457415.5,41832,6366.82575,2084.92769,2620.86557,-3.42385,4.18326,5.25748,7387.98067,0.02928,0.89872,6.28313,0.01364,0.44459,0.47063,0,96,-9.6,21.6,77,1,0,1
480,2457415.5,41852,6296.99016,2168.14054,2725.44492,-3.55944,4.13773,5.20009,7387.77176,0.02925,0.89871,6.28312,0.01368,0.46447,0.49155,0,94.2,-9.8,22.5,77.7,1,0,1
500,2457415.5,41872,6224.45929,2250.42536,2828.85477,-3.69337,4.09047,5.14053,7387.55774,0.02922,0.8987,6.28312,0.01366,0.48441,0.51253,0,92.4,-10,23.3,78.5,1,0,1
520,2457415.5,41892,6149.26666,2331.74784,2931.05187,-3.8256,4.0415,5.07882,7387.33908,0.02919,0.89869,6.28311,0.01357,0.50441,0.53355,0,90.7,-10.2,24.2,79.3,1,0,1
540,2457415.5,41912,6071.44695,2412.07417,3031.99362,-3.95607,3.99086,5.015,7387.11625,0.02915,0.89867,6.2831,0.01343,0.52447,0.55461,0,89,-10.4,25.1,80.2,1,0,1
560,2457415.5,41932,5991.036,2491.37105,3131.63807,-4.08472,3.93856,4.9491,7386.88972,0.02912,0.89866,6.28309,0.01324,0.54458,0.57572,0,87.3,-10.7,26,81,1,0,1
580,2457415.5,41952,5908.07074,2569.60575,3229.94399,-4.21149,3.88464,4.88115,7386.65995,0.02909,0.89865,6.28308,0.01298,0.56475,0.59688,0,85.7,-11,26.8,81.8,1,0,1
600,2457415.5,41972,5822.58923,2646.74606,3326.8708,-4.33633,3.82913,4.8112,7386.42731,0.02906,0.89864,6.28307,0.01267,0.58498,0.61807,0,84.1,-11.3,27.7,82.7,1,0,1
620,2457415.5,41992,5734.63057,2722.76036,3422.37868,-4.4592,3.77205,4.73927,7386.19212,0.02903,0.89863,6.28306,0.0123,0.60527,0.63931,0,82.5,-11.6,28.6,83.6,1,0,1
640,2457415.5,42012,5644.2349,2797.61762,3516.42852,-4.58003,3.71343,4.6654,7385.95466,0.029,0.89861,6.28304,0.01187,0.6256,0.66059,0,80.9,-11.9,29.4,84.4,1,0,1
660,2457415.5,42032,5551.44341,2871.28738,3608.98198,-4.69877,3.6533,4.58963,7385.71522,0.02897,0.8986,6.28303,0.0114,0.646,0.68191,0,79.4,-12.3,30.2,85.3,1,0,1
680,2457415.5,42052,5456.29826,2943.73982,3700.00148,-4.81538,3.5917,4.51201,7385.47417,0.02895,0.89859,6.28302,0.01086,0.66644,0.70327,0,77.9,-12.6,31.1,86.3,1,0,1
700,2457415.5,42072,5358.84258,3014.94572,3789.45022,-4.92982,3.52865,4.43257,7385.23195,0.02892,0.89858,6.283,0.01028,0.68694,0.72466,0,76.5,-13,31.9,87.2,1,0,1
720,2457415.5,42092,5259.12046,3084.87652,3877.29223,-5.04202,3.46419,4.35134,7384.98906,0.02889,0.89856,6.28299,0.00965,0.70748,0.74608,0,75,-13.4,32.7,88.1,1,0,1
740,2457415.5,42112,5157.17687,3153.50428,3963.49233,-5.15196,3.39835,4.26838,7384.74604,0.02887,0.89855,6.28297,0.00897,0.72807,0.76754,0,73.6,-13.8,33.5,89.1,1,0,1
760,2457415.5,42132,5053.05769,3220.80173,4048.01618,-5.25957,3.33117,4.18372,7384.50346,0.02884,0.89854,6.28296,0.00825,0.7487,0.78902,0,72.3,-14.2,34.3,90.1,1,0,1
780,2457415.5,42152,4946.80965,3286.74228,4130.83029,-5.36483,3.26267,4.09741,7384.26189,0.02882,0.89853,6.28294,0.00749,0.76938,0.81053,0,70.9,-14.6,35.1,91.1,1,0,1
800,2457415.5,42172,4838.48031,3351.3,4211.90202,-5.4677,3.19289,4.00949,7384.02187,0.0288,0.89851,6.28292,0.00669,0.79009,0.83205,0,69.6,-15,35.8,92.1,1,0,1
